model,benchmark,lang,a
gemini-1.5-flash,truthfulqa,en,0.7318840579710145
gemini-1.5-flash,truthfulqa,ru,0.7395833333333334
gemini-1.5-flash,truthfulqa,de,0.7166172106824926
gemini-1.5-flash,truthfulqa,ja,0.7090643274853801
gemini-1.5-flash,truthfulqa,es,0.7237237237237237
gemini-1.5-flash,truthfulqa,fr,0.7410714285714286
gemini-1.5-flash,truthfulqa,zh-CN,0.6949404761904762
gemini-1.5-flash,truthfulqa,it,0.7159763313609467
gemini-1.5-flash,truthfulqa,pt,0.718475073313783
gemini-1.5-flash,truthfulqa,nl,0.6960352422907489
gemini-1.5-flash,truthfulqa,vi,0.7142857142857143
gemini-1.5-flash,truthfulqa,id,0.7155425219941349
gemini-1.5-flash,truthfulqa,ar,0.6899109792284867
gemini-1.5-flash,truthfulqa,sv,0.6976401179941003
gemini-1.5-flash,truthfulqa,hu,0.6671709531013615
gemini-1.5-flash,truthfulqa,fi,0.6681614349775785
gemini-1.5-flash,truthfulqa,hi,0.7008797653958945
gemini-1.5-flash,truthfulqa,bn,0.640625
gemini-1.5-flash,truthfulqa,lv,0.7102526002971769
gemini-1.5-flash,truthfulqa,ur,0.6797101449275362
gemini-1.5-flash,truthfulqa,cy,0.6945288753799392
gemini-1.5-flash,truthfulqa,sw,0.7019374068554396
gemini-1.5-flash,truthfulqa,am,0.6318840579710145
gemini-1.5-flash,truthfulqa,zu,0.6621004566210046
gemini-1.5-flash,truthfulqa,mi,0.6128550074738416
