model,benchmark,lang,a
gemini-1.5-flash,truthfulqa,en,0.7318840579710145
gemini-1.5-flash,truthfulqa,ru,0.7395833333333334
gemini-1.5-flash,truthfulqa,de,0.7166172106824926
gemini-1.5-flash,truthfulqa,ja,0.7090643274853801
gemini-1.5-flash,truthfulqa,es,0.7237237237237237
gemini-1.5-flash,truthfulqa,fr,0.7410714285714286
gemini-1.5-flash,truthfulqa,zh-CN,0.6949404761904762
gemini-1.5-flash,truthfulqa,it,0.7159763313609467
gemini-1.5-flash,truthfulqa,pt,0.718475073313783
gemini-1.5-flash,truthfulqa,nl,0.6960352422907489
gemini-1.5-flash,truthfulqa,vi,0.7142857142857143
gemini-1.5-flash,truthfulqa,id,0.7155425219941349
gemini-1.5-flash,truthfulqa,ar,0.6899109792284867
gemini-1.5-flash,truthfulqa,sv,0.6976401179941003
gemini-1.5-flash,truthfulqa,hu,0.6671709531013615
gemini-1.5-flash,truthfulqa,fi,0.6681614349775785
gemini-1.5-flash,truthfulqa,hi,0.7008797653958945
gemini-1.5-flash,truthfulqa,bn,0.640625
gemini-1.5-flash,truthfulqa,lv,0.7102526002971769
gemini-1.5-flash,truthfulqa,ur,0.6797101449275362
gemini-1.5-flash,truthfulqa,cy,0.6945288753799392
gemini-1.5-flash,truthfulqa,sw,0.7019374068554396
gemini-1.5-flash,truthfulqa,am,0.6318840579710145
gemini-1.5-flash,truthfulqa,zu,0.6621004566210046
gemini-1.5-flash,truthfulqa,mi,0.6128550074738416
gpt-4o-mini,truthfulqa,en,0.6304347826086957
gpt-4o-mini,truthfulqa,ru,0.6226415094339622
gpt-4o-mini,truthfulqa,de,0.6173913043478261
gpt-4o-mini,truthfulqa,ja,0.6333333333333333
gpt-4o-mini,truthfulqa,es,0.6466275659824047
gpt-4o-mini,truthfulqa,fr,0.6422287390029325
gpt-4o-mini,truthfulqa,zh-CN,0.5942028985507246
gpt-4o-mini,truthfulqa,it,0.6463768115942029
gpt-4o-mini,truthfulqa,pt,0.6539589442815249
gpt-4o-mini,truthfulqa,nl,0.6173913043478261
gpt-4o-mini,truthfulqa,vi,0.5942028985507246
gpt-4o-mini,truthfulqa,id,0.6159420289855072
gpt-4o-mini,truthfulqa,ar,0.5927536231884057
gpt-4o-mini,truthfulqa,sv,0.622356495468278
gpt-4o-mini,truthfulqa,hu,0.593939393939394
gpt-4o-mini,truthfulqa,fi,0.6018099547511312
gpt-4o-mini,truthfulqa,hi,0.5695652173913044
gpt-4o-mini,truthfulqa,bn,0.49074074074074076
gpt-4o-mini,truthfulqa,lv,0.5971014492753624
gpt-4o-mini,truthfulqa,ur,0.5463768115942029
gpt-4o-mini,truthfulqa,cy,0.5645161290322581
gpt-4o-mini,truthfulqa,sw,0.5786350148367952
gpt-4o-mini,truthfulqa,am,0.2757078986587183
gpt-4o-mini,truthfulqa,zu,0.527536231884058
gpt-4o-mini,truthfulqa,mi,0.4217391304347826
